rank,name,team,position,Receptions,Yards,Touchdowns,Long,20+,40+,Fumbles

1,Jarvis Landry,MIA,WR,112,987,9,49,6,1,3

2,Larry Fitzgerald,ARI,WR,109,1156,6,37,16,0,1

3,Michael Thomas,NO,WR,104,1245,5,43,22,1,0

4,Keenan Allen,LAC,WR,102,1393,6,51,18,4,1

5,Antonio Brown,PIT,WR,101,1533,9,57,27,7,3

6,DeAndre Hopkins,HOU,WR,96,1378,13,72,24,2,1

7,Golden Tate,DET,WR,92,1003,5,71,10,3,1

8,Adam Thielen,MIN,WR,91,1276,4,65,20,5,3

9,Julio Jones,ATL,WR,88,1444,3,53,23,4,0

10,Le,PIT,RB,85,655,2,42,5,1,1

11,Travis Kelce,KC,TE,83,1038,8,44,19,1,0

11,Demaryius Thomas,DEN,WR,83,949,5,40,15,1,1

13,Alvin Kamara,NO,RB,81,826,5,40,11,1,0

14,Jack Doyle,IND,TE,80,690,4,26,4,0,2

14,Christian McCaffrey,CAR,RB,80,651,5,37,7,0,0

16,Doug Baldwin,SEA,WR,75,991,8,54,18,3,0

16,A.J. Green,CIN,WR,75,1078,8,77,9,4,2

16,Tyreek Hill,KC,WR,75,1183,7,79,15,9,0

19,Davante Adams,GB,WR,74,885,10,55,8,3,0

19,Zach Ertz,PHI,TE,74,824,8,53,7,2,1

19,Duke Johnson,CLE,RB,74,693,3,41,9,1,2

19,Delanie Walker,TEN,TE,74,807,3,42,9,1,2

23,Mike Evans,TB,WR,71,1001,5,42,9,2,1

24,Dez Bryant,DAL,WR,69,838,6,50,8,2,1

24,Rob Gronkowski,NE,TE,69,1084,8,53,18,2,1

26,Mohamed Sanu,ATL,WR,67,703,5,25,10,0,0

27,Randall Cobb,GB,WR,66,653,4,46,7,1,1

27,Jamison Crowder,WAS,WR,66,789,3,41,12,1,1

29,Brandin Cooks,NE,WR,65,1082,7,64,18,7,0

29,Jermaine Kearse,NYJ,WR,65,810,5,51,9,4,1

31,Stefon Diggs,MIN,WR,64,849,8,59,14,3,0

31,Evan Engram,NYG,TE,64,722,6,35,11,0,0

31,Todd Gurley,LA,RB,64,788,6,80,12,4,0

34,Robby Anderson,NYJ,WR,63,941,7,69,17,3,0

34,Devin Funchess,CAR,WR,63,840,8,44,15,1,0

34,Jason Witten,DAL,TE,63,560,5,28,3,0,1

37,Nelson Agholor,PHI,WR,62,768,8,72,9,3,0

37,Cooper Kupp,LA,WR,62,869,5,64,12,2,1

39,Danny Amendola,NE,WR,61,659,2,27,7,0,1

39,Adam Humphries,TB,WR,61,631,1,43,5,1,1

39,Marvin Jones,DET,WR,61,1101,9,58,20,6,0

39,Benjamin Watson,BAL,TE,61,522,4,33,5,0,1

43,Carlos Hyde,SF,RB,59,350,0,18,0,0,0

43,LeSean McCoy,BUF,RB,59,448,2,39,3,0,0

43,Sterling Shepard,NYG,WR,59,731,2,77,7,3,1

43,Kendall Wright,CHI,WR,59,614,1,22,1,0,0

47,Michael Crabtree,OAK,WR,58,618,8,41,8,2,1

47,Melvin Gordon,LAC,RB,58,476,4,49,4,1,0

47,Mark Ingram,NO,RB,58,416,0,54,3,1,1

47,JuJu Smith,PIT,WR,58,917,7,97,12,6,0

 